Ticker,ROI(%)
1312.TW,13.2
1503.TW,23.68
1513.TW,-13.11
1514.TW,-4.45
1521.TW,1.71
1612.TW,6.1
1718.TW,2.7
1809.TW,10.69
2303.TW,23.31
2331.TW,10.41
2356.TW,6.43
2369.TW,13.76
2419.TW,10.57
2492.TW,22.49
3031.TW,-12.15
3481.TW,60.86
5469.TW,-10.56
6133.TW,17.17
6257.TW,40.42
6691.TW,11.93
6770.TW,143.27
6776.TW,4.74
8131.TW,57.29
8438.TW,94.98
1312A.TW,-15.44
3265.TWO,40.98
3289.TWO,10.28
3317.TWO,-0.49
3709.TWO,11.69
4105.TWO,5.87
4168.TWO,24.67
4533.TWO,22.66
4534.TWO,22.47
4543.TWO,-8.81
5302.TWO,18.84
5351.TWO,18.4
5425.TWO,15.18
5498.TWO,117.04
6015.TWO,12.51
6020.TWO,-1.24
6021.TWO,29.3
6129.TWO,-9.7
6134.TWO,-8.45
6174.TWO,2.33
6210.TWO,-13.67
6265.TWO,111.51
6435.TWO,0.72
8109.TWO,2.44
8932.TWO,4.0
